#Year   glob_temp_dev  RF_nonCO2  RF_budget  co2_atm     fossil_CO2_em   budget_C_uptake
2322    -9999.9999     1.04       0          -9999.9999  0.595381455     0
2323    -9999.9999     1.04       0          -9999.9999  0.5939538773    0
2324    -9999.9999     1.04       0          -9999.9999  0.5925324615    0
2325    -9999.9999     1.04       0          -9999.9999  0.5911171583    0
2326    -9999.9999     1.04       0          -9999.9999  0.5897079189    0
2327    -9999.9999     1.04       0          -9999.9999  0.5883046952    0
2328    -9999.9999     1.04       0          -9999.9999  0.5869074394    0
2329    -9999.9999     1.04       0          -9999.9999  0.5855161044    0
2330    -9999.9999     1.04       0          -9999.9999  0.5841306438    0
2331    -9999.9999     1.04       0          -9999.9999  0.5827510116    0
2332    -9999.9999     1.04       0          -9999.9999  0.5813771622    0
2333    -9999.9999     1.04       0          -9999.9999  0.5800090507    0
2334    -9999.9999     1.04       0          -9999.9999  0.5786466327    0
2335    -9999.9999     1.04       0          -9999.9999  0.5772898642    0
2336    -9999.9999     1.04       0          -9999.9999  0.5759387019    0
2337    -9999.9999     1.04       0          -9999.9999  0.5745931029    0
2338    -9999.9999     1.04       0          -9999.9999  0.5732530247    0
2339    -9999.9999     1.04       0          -9999.9999  0.5719184253    0
2340    -9999.9999     1.04       0          -9999.9999  0.5705892632    0
2341    -9999.9999     1.04       0          -9999.9999  0.5692654976    0
2342    -9999.9999     1.04       0          -9999.9999  0.5679470877    0
2343    -9999.9999     1.04       0          -9999.9999  0.5666339936    0
2344    -9999.9999     1.04       0          -9999.9999  0.5653261756    0
2345    -9999.9999     1.04       0          -9999.9999  0.5640235945    0
2346    -9999.9999     1.04       0          -9999.9999  0.5627262115    0
2347    -9999.9999     1.04       0          -9999.9999  0.5614339882    0
2348    -9999.9999     1.04       0          -9999.9999  0.5601468869    0
2349    -9999.9999     1.04       0          -9999.9999  0.55886487      0
2350    -9999.9999     1.04       0          -9999.9999  0.5575879003    0
2351    -9999.9999     1.04       0          -9999.9999  0.5563159414    0
2352    -9999.9999     1.04       0          -9999.9999  0.5550489568    0
2353    -9999.9999     1.04       0          -9999.9999  0.5537869107    0
2354    -9999.9999     1.04       0          -9999.9999  0.5525297677    0
2355    -9999.9999     1.04       0          -9999.9999  0.5512774925    0
2356    -9999.9999     1.04       0          -9999.9999  0.5500300507    0
2357    -9999.9999     1.04       0          -9999.9999  0.5487874077    0
2358    -9999.9999     1.04       0          -9999.9999  0.5475495296    0
2359    -9999.9999     1.04       0          -9999.9999  0.5463163829    0
2360    -9999.9999     1.04       0          -9999.9999  0.5450879342    0
2361    -9999.9999     1.04       0          -9999.9999  0.5438641507    0
2362    -9999.9999     1.04       0          -9999.9999  0.5426449999    0
2363    -9999.9999     1.04       0          -9999.9999  0.5414304495    0
2364    -9999.9999     1.04       0          -9999.9999  0.5402204678    0
2365    -9999.9999     1.04       0          -9999.9999  0.5390150232    0
2366    -9999.9999     1.04       0          -9999.9999  0.5378140845    0
2367    -9999.9999     1.04       0          -9999.9999  0.5366176209    0
2368    -9999.9999     1.04       0          -9999.9999  0.5354256019    0
2369    -9999.9999     1.04       0          -9999.9999  0.5342379972    0
2370    -9999.9999     1.04       0          -9999.9999  0.5330547769    0
2371    -9999.9999     1.04       0          -9999.9999  0.5318759116    0
2372    -9999.9999     1.04       0          -9999.9999  0.5307013719    0
2373    -9999.9999     1.04       0          -9999.9999  0.5295311288    0
2374    -9999.9999     1.04       0          -9999.9999  0.5283651537    0
2375    -9999.9999     1.04       0          -9999.9999  0.5272034181    0
2376    -9999.9999     1.04       0          -9999.9999  0.5260458941    0
2377    -9999.9999     1.04       0          -9999.9999  0.5248925538    0
2378    -9999.9999     1.04       0          -9999.9999  0.5237433698    0
